161,593854.79,2463622.18,0.00,path
162,593854.89,2463624.15,0.00,path
163,593854.99,2463626.13,0.00,path
164,593855.09,2463628.10,0.00,path
165,593855.19,2463630.07,0.00,path
166,593855.29,2463632.05,0.00,path
167,593855.40,2463634.02,0.00,path
168,593855.50,2463635.99,0.00,path
169,593855.60,2463637.96,0.00,path
170,593855.70,2463639.94,0.00,path
171,593855.80,2463641.91,0.00,path
172,593855.90,2463643.88,0.00,path
173,593856.01,2463645.85,0.00,path
174,593856.11,2463647.83,0.00,path
175,593856.21,2463649.80,0.00,path
176,593856.31,2463651.77,0.00,path
177,593856.41,2463653.75,0.00,path
178,593856.51,2463655.72,0.00,path
179,593856.61,2463657.69,0.00,path
180,593856.72,2463659.66,0.00,path
181,593856.82,2463661.64,0.00,path
182,593856.92,2463663.61,0.00,path
183,593857.02,2463665.58,0.00,path
184,593857.12,2463667.56,0.00,path
185,593857.22,2463669.53,0.00,path
186,593857.33,2463671.50,0.00,path
187,593857.43,2463673.47,0.00,path
188,593857.53,2463675.45,0.00,path
189,593857.63,2463677.42,0.00,path
190,593857.73,2463679.39,0.00,path
191,593857.83,2463681.37,0.00,path
192,593857.94,2463683.34,0.00,path
193,593858.04,2463685.31,0.00,path
194,593858.14,2463687.28,0.00,path
195,593858.24,2463689.26,0.00,path
196,593858.34,2463691.23,0.00,path
197,593858.44,2463693.20,0.00,path
198,593858.54,2463695.18,0.00,path
199,593858.65,2463697.15,0.00,path
200,593858.75,2463699.12,0.00,path
201,593858.85,2463701.09,0.00,path
202,593858.95,2463703.07,0.00,path
203,593859.05,2463705.04,0.00,path
204,593859.15,2463707.01,0.00,path
205,593859.26,2463708.98,0.00,path
206,593859.36,2463710.96,0.00,path
207,593859.46,2463712.93,0.00,path
208,593859.56,2463714.90,0.00,path
209,593859.66,2463716.88,0.00,path
210,593859.76,2463718.85,0.00,path
211,593859.87,2463720.82,0.00,path
212,593859.97,2463722.79,0.00,path
213,593860.07,2463724.77,0.00,path
214,593860.17,2463726.74,0.00,CORNER
215,593858.45,2463726.80,0.00,path
216,593856.74,2463726.85,0.00,path
217,593855.02,2463726.91,0.00,CORNER
218,593853.07,2463726.98,0.00,path
219,593851.12,2463727.04,0.00,path
220,593849.17,2463727.11,0.00,path
221,593847.22,2463727.18,0.00,path
222,593845.27,2463727.24,0.00,path
223,593843.32,2463727.31,0.00,path
224,593841.37,2463727.38,0.00,path
225,593839.42,2463727.44,0.00,path
226,593837.47,2463727.51,0.00,path
227,593835.52,2463727.58,0.00,path
228,593833.57,2463727.64,0.00,path
229,593831.62,2463727.71,0.00,path
230,593829.67,2463727.78,0.00,path
231,593827.72,2463727.84,0.00,path
232,593825.77,2463727.91,0.00,path
233,593823.82,2463727.98,0.00,path
234,593821.87,2463728.04,0.00,path
235,593819.92,2463728.11,0.00,path
236,593817.97,2463728.18,0.00,path
237,593816.02,2463728.24,0.00,path
238,593814.06,2463728.31,0.00,path
239,593812.11,2463728.37,0.00,path
240,593810.16,2463728.44,0.00,path
241,593808.21,2463728.51,0.00,path
242,593806.26,2463728.57,0.00,path
243,593804.31,2463728.64,0.00,path
244,593802.36,2463728.71,0.00,path
245,593800.41,2463728.77,0.00,path
246,593798.46,2463728.84,0.00,path
247,593796.51,2463728.91,0.00,path
248,593794.56,2463728.97,0.00,path
249,593792.61,2463729.04,0.00,path
250,593790.66,2463729.11,0.00,path
251,593788.71,2463729.17,0.00,path
252,593786.76,2463729.24,0.00,path
253,593784.81,2463729.31,0.00,path
254,593782.86,2463729.37,0.00,path
255,593780.91,2463729.44,0.00,path
256,593778.96,2463729.51,0.00,path
257,593777.01,2463729.57,0.00,path
258,593775.06,2463729.64,0.00,CORNER
